City,latitude,Longitude,Maxtemp,Humidity,Cloudiness,Windspeed,Country,Date
Flinders,-34.58,150.86,285.37,74,59,4.02,AU,1594909468
Ponta do Sol,32.67,-17.1,297.04,56,2,0.23,PT,1594909468
Padang,-0.95,100.35,300.31,78,100,1.75,ID,1594909468
Mataura,-46.19,168.86,277.04,83,28,1.34,NZ,1594909468
Goderich,43.75,-81.72,295.93,82,100,0.89,CA,1594909468
Tuktoyaktuk,69.45,-133.04,283.15,71,75,4.6,CA,1594909468
Berlevåg,70.86,29.09,289.15,63,20,4.1,NO,1594909468
Dingle,11.0,122.67,299.38,86,94,0.38,PH,1594909468
Saint-Augustin,51.23,-58.65,293.8,40,0,3.18,CA,1594909468
Thompson,55.74,-97.86,289.15,82,75,7.2,CA,1594909469
Egvekinot,66.32,-179.17,281.33,96,100,0.59,RU,1594909469
Beringovskiy,63.05,179.32,283.43,82,19,2.39,RU,1594909469
San Andrés,12.58,-81.7,302.15,79,40,5.1,CO,1594909469
Fort Frances,48.6,-93.4,292.59,77,40,3.14,CA,1594909469
Fukuechō,32.69,128.84,295.71,80,47,5.5,JP,1594909469
Tari,12.41,4.49,303.65,58,88,3.96,NG,1594909469
Jamestown,42.1,-79.24,297.59,78,40,4.1,US,1594909469
Khovd,48.01,91.64,291.54,44,33,4.3,MN,1594909469
Albany,42.6,-73.97,295.93,66,79,4.57,US,1594909469
Tiksi,71.69,128.87,275.09,90,13,7.41,RU,1594909469
Atuona,-9.8,-139.03,299.74,75,1,8.03,PF,1594909469
Grafton,42.21,-71.69,295.37,60,1,3.1,US,1594909469
Kapaa,22.08,-159.32,299.15,78,90,5.7,US,1594909470
Arrondissement du Havre,49.58,0.33,293.15,72,75,5.1,FR,1594909470
Hermanus,-34.42,19.23,292.04,58,65,0.89,ZA,1594909470
Cape Town,-33.93,18.42,294.15,30,1,1.0,ZA,1594909116
Baykit,61.67,96.37,285.98,89,100,2.14,RU,1594909470
Chicama,-7.84,-79.15,291.53,74,68,1.96,PE,1594909470
Saurimo,-9.66,20.39,302.15,25,12,3.6,AO,1594909470
Marratxí,39.64,2.75,299.15,69,96,4.6,ES,1594909470
Jieshi,22.81,115.83,301.9,85,8,4.91,CN,1594909470
Ostrovnoy,68.05,39.51,289.81,50,96,7.27,RU,1594909470
Dikson,73.51,80.55,277.96,91,7,2.22,RU,1594909471
Nagato,34.38,131.2,296.15,83,40,4.1,JP,1594909471
Kichera,55.94,110.1,285.56,73,93,1.74,RU,1594909471
Hofn,64.25,-15.21,284.15,87,90,10.8,IS,1594909471
Hasaki,35.73,140.83,291.15,93,75,2.6,JP,1594909471
Longyearbyen,78.22,15.64,280.15,81,75,1.5,SJ,1594909471
Limbe,4.02,9.21,301.15,88,75,2.6,CM,1594909471
Lorengau,-2.02,147.27,301.18,70,72,1.95,PG,1594909471
Muswellbrook,-32.27,150.9,283.15,66,7,0.45,AU,1594909471
Cidreira,-30.18,-50.21,286.22,68,91,8.31,BR,1594909471
Saint-Philippe,-21.36,55.77,296.15,73,75,5.1,RE,1594909472
Ukiah,39.15,-123.21,287.04,87,1,2.6,US,1594909472
Carnarvon,-24.87,113.63,292.15,100,90,9.56,AU,1594909472
Nikolskoye,59.7,30.79,291.15,55,75,3.0,RU,1594909472
Katsuura,35.13,140.3,294.26,88,75,3.6,JP,1594909472
Usinsk,65.99,57.53,290.66,53,1,5.87,RU,1594909472
Bengkulu,-3.8,102.27,298.86,87,73,2.22,ID,1594909472
Bethel,41.37,-73.41,295.93,64,75,4.1,US,1594909472
Key West,24.56,-81.78,304.26,62,40,5.1,US,1594909472
Coos Bay,43.37,-124.22,287.04,100,90,3.1,US,1594909472
Meulaboh,4.14,96.13,299.49,85,100,0.84,ID,1594909473
Aklavik,68.22,-135.01,284.15,93,90,3.6,CA,1594909473
Akçakoca,41.09,31.12,294.59,83,100,3.32,TR,1594909473
São Filipe,14.9,-24.5,297.8,80,20,3.64,CV,1594909473
Iquitos,-3.75,-73.25,299.15,83,75,1.0,PE,1594909473
Iqaluit,63.75,-68.51,283.15,66,75,3.6,CA,1594909473
Leningradskiy,69.38,178.42,278.47,90,100,4.77,RU,1594909473
Pangai,-19.8,-174.35,297.66,80,19,7.44,TO,1594909473
Saldanha,-33.01,17.94,291.6,47,0,1.22,ZA,1594909473
Carutapera,-1.2,-46.02,302.7,67,0,3.33,BR,1594909473
Benátky nad Jizerou,50.29,14.82,294.26,63,75,3.1,CZ,1594909473
Chone,-0.68,-80.1,297.32,80,99,0.75,EC,1594909473
Bathsheba,13.22,-59.52,303.15,66,20,6.7,BB,1594909474
Zyryanovsk,49.74,84.27,295.96,58,51,2.67,KZ,1594909474
Coquimbo,-29.95,-71.34,284.15,81,0,2.1,CL,1594909474
Sampit,-2.53,112.95,296.96,95,73,1.34,ID,1594909474
Kenai,60.55,-151.26,286.15,76,1,2.6,US,1594909474
Hobart,-42.88,147.33,279.26,93,75,1.62,AU,1594909456
Mossamedes,-15.2,12.15,299.15,50,0,5.1,AO,1594909474
Verkhoyansk,67.54,133.38,282.69,57,67,2.11,RU,1594909474
Guerrero Negro,27.98,-114.06,293.15,82,2,4.83,MX,1594909474
Vyborg,60.71,28.75,297.04,35,23,4.6,RU,1594909474
Vao,-22.67,167.48,294.21,65,59,7.83,NC,1594909474
Amalāpuram,16.58,82.02,300.15,88,90,1.5,IN,1594909450
Ürümqi,43.8,87.6,302.15,26,20,1.0,CN,1594909474
Abū Zabad,12.35,29.25,303.87,47,82,5.15,SD,1594909475
Tura,25.52,90.22,298.2,92,100,1.64,IN,1594909475
Kaitangata,-46.28,169.85,279.26,69,36,1.79,NZ,1594909475
Srednekolymsk,67.45,153.68,281.62,58,98,1.77,RU,1594909475
Nurlat,54.43,50.81,297.73,66,84,3.63,RU,1594909475
Viedma,-40.81,-63.0,280.93,79,0,0.89,AR,1594909475
Teguise,29.06,-13.56,302.15,58,20,2.6,ES,1594909476
Pitelino,54.58,41.81,288.83,80,98,5.14,RU,1594909476
Natal,-5.79,-35.21,299.15,78,75,6.2,BR,1594909476
Qaanaaq,77.48,-69.36,279.78,78,82,2.68,GL,1594909476
Mayo,38.89,-76.51,299.82,88,90,5.7,US,1594909476
Yellowknife,62.46,-114.35,289.82,76,20,1.5,CA,1594908773
Cherskiy,68.75,161.3,277.64,82,27,2.05,RU,1594909476
Husavik,66.04,-17.34,286.15,82,75,4.6,IS,1594909476
Bariloche,-41.15,-71.31,277.04,92,90,1.0,AR,1594909476
Tuatapere,-46.13,167.68,277.04,83,58,1.34,NZ,1594909476
Buala,-8.14,159.59,299.38,82,68,3.34,SB,1594909476
Caravelas,-17.71,-39.25,296.38,75,97,5.6,BR,1594909477
Lakatoro,-16.1,167.42,297.04,78,100,2.75,VU,1594909477
Wajima,37.4,136.9,293.9,81,0,2.32,JP,1594909477
Fuengirola,36.54,-4.62,303.71,45,5,3.6,ES,1594909050
Itum-Kale,42.74,45.58,296.23,66,79,0.9,RU,1594909477
Bom Jesus,-9.07,-44.36,304.34,35,0,3.94,BR,1594909477
Gilgit,35.92,74.31,302.94,25,72,2.69,PK,1594909477
Puerto del Rosario,28.5,-13.86,299.15,74,29,6.7,ES,1594909477
Port Macquarie,-31.43,152.92,287.15,67,40,7.7,AU,1594909477
Baharly,38.44,57.43,308.99,25,41,4.27,TM,1594909477
Saint Paul Harbor,57.79,-152.41,284.15,81,1,3.1,US,1594909477
Sechura,-5.56,-80.82,291.57,78,88,4.05,PE,1594909477
Sindor,62.86,51.89,291.94,69,44,3.34,RU,1594909477
Nhulunbuy,-12.23,136.77,296.15,83,40,4.1,AU,1594909478
Kavaratti,10.57,72.64,301.56,81,100,8.35,IN,1594909478
Taltal,-25.4,-70.48,293.04,30,0,3.04,CL,1594909478
Esperance,-33.87,121.9,287.15,100,75,5.1,AU,1594909478
Codrington,-38.27,141.97,278.34,88,0,3.27,AU,1594909478
Vanimo,-2.67,141.3,299.52,80,84,2.04,PG,1594909478
Dalvik,65.97,-18.53,286.15,82,75,4.6,IS,1594909478
Bereket,39.24,55.52,308.05,30,0,8.08,TM,1594909478
Halmstad,56.67,12.86,291.15,72,75,4.6,SE,1594909478
Ozinki,51.18,49.68,296.85,60,100,2.84,RU,1594909478
Barrow,71.29,-156.79,274.15,91,75,3.6,US,1594909479
Guarapari,-20.67,-40.5,296.15,73,75,5.1,BR,1594909479
Labuhan,-6.88,112.21,299.56,77,0,4.45,ID,1594909479
Alice Springs,-23.7,133.88,278.15,52,0,2.1,AU,1594909479
Xapuri,-10.65,-68.5,299.15,83,20,2.6,BR,1594909479
Pierre,44.37,-100.35,296.48,68,1,3.1,US,1594909479
Alenquer,-1.94,-54.74,303.15,74,40,5.1,BR,1594909479
Ismailia,30.6,32.27,305.54,38,0,9.67,EG,1594909479
Mount Gambier,-37.83,140.77,279.15,87,12,3.1,AU,1594909479
Olafsvik,64.89,-23.71,283.85,86,100,3.66,IS,1594909479
Torbay,47.67,-52.73,283.15,100,90,9.3,CA,1594909479
Kharp,66.8,65.81,287.72,54,100,2.26,RU,1594909479
Ghanzi,-21.57,21.78,291.87,27,0,6.88,BW,1594909480
Zabid,14.2,43.32,310.85,27,67,6.07,YE,1594909480
Opovo,45.05,20.43,297.15,57,40,1.5,RS,1594909480
Ālampur,15.88,78.15,298.88,80,90,4.55,IN,1594909480
Kargil,34.57,76.1,292.2,31,59,3.66,IN,1594909480
Prince Rupert,54.32,-130.32,285.15,100,90,1.0,CA,1594909480
Tezu,27.92,96.17,298.86,80,99,1.16,IN,1594909480
Oliver,49.18,-119.55,292.15,72,75,0.85,CA,1594909480
Coahuayana Viejo,18.73,-103.68,297.15,88,75,1.31,MX,1594909480
Sur,22.57,59.53,305.3,56,21,6.02,OM,1594909480
Goma,-1.68,29.22,297.15,50,75,8.2,CD,1594909480
Galeana,24.83,-100.07,294.2,60,0,1.97,MX,1594909480
Rosario,-32.95,-60.64,288.15,50,93,2.6,AR,1594909480
Khatanga,71.97,102.5,284.26,81,100,7.1,RU,1594909480
Sungai Penuh,-2.08,101.38,292.07,95,67,1.39,ID,1594909481
Vicuña,-30.03,-70.71,289.26,35,0,3.3,CL,1594909481
Avera,33.19,-82.53,303.15,70,1,3.1,US,1594909481
Okhotsk,59.38,143.3,286.6,91,98,3.35,RU,1594909481
Salalah,17.02,54.09,302.15,89,75,4.6,OM,1594909481
Los Llanos de Aridane,28.66,-17.92,298.15,65,40,5.7,ES,1594909481
Necochea,-38.55,-58.74,284.82,65,100,4.02,AR,1594909481
Geraldton,-28.77,114.6,290.15,93,90,7.2,AU,1594909481
Moose Factory,51.26,-80.61,296.15,60,1,8.2,CA,1594909481
Forsytheganj,52.63,29.73,295.89,46,1,0.87,BY,1594909481
Kiama,-34.68,150.87,285.37,74,69,4.02,AU,1594909481
Gizo Government Station,-8.1,156.84,300.76,80,15,6.7,SB,1594909481
Kralendijk,12.15,-68.27,303.15,70,75,6.7,BQ,1594909035
Warangal,18.0,79.58,299.41,78,15,4.85,IN,1594909481
Sinnamary,5.38,-52.95,302.25,69,86,3.39,GF,1594909481
Petropavlivka,48.46,36.44,298.14,43,100,1.74,UA,1594909481
Bassar,9.25,0.78,298.15,73,75,3.1,TG,1594909482
Brookhaven,31.58,-90.44,300.93,85,10,0.4,US,1594909482
Campo Verde,-20.42,-54.07,300.15,51,75,5.1,BR,1594909482
Vila Franca do Campo,37.72,-25.43,296.15,69,75,6.7,PT,1594909482
Eslāmshahr,35.56,51.23,308.15,21,20,2.1,IR,1594909482
Bonavista,48.65,-53.11,282.59,82,60,3.58,CA,1594909482
Pocrí,8.27,-80.55,302.15,77,20,1.5,PA,1594909482
Port Hedland,-20.32,118.57,289.15,77,0,2.6,AU,1594909482
Narsaq,60.92,-46.05,286.15,58,75,2.6,GL,1594909482
Saint George,37.1,-113.58,299.26,21,1,2.1,US,1594909482
Manono,-7.3,27.42,305.13,20,0,5.69,CD,1594909482
Sobolevo,54.43,31.9,291.8,70,84,4.48,RU,1594909482
Pochutla,15.74,-96.47,297.04,83,90,2.6,MX,1594909482
Ancud,-41.87,-73.82,283.71,100,90,3.6,CL,1594909482
Nanortalik,60.14,-45.24,282.0,63,44,5.17,GL,1594909483
Buy,58.48,41.53,291.04,84,62,4.6,RU,1594909483
Tambura,5.6,27.47,299.41,83,76,1.53,SS,1594909483
Severo-Kuril'sk,50.68,156.12,282.91,91,34,2.12,RU,1594909483
Road Town,18.42,-64.62,303.15,66,40,3.6,VG,1594909483
Vila,42.03,-8.16,307.04,30,22,3.13,PT,1594909483
Curup,-3.47,102.53,294.56,93,100,1.17,ID,1594909483
Polovinnoye,54.79,65.99,300.36,58,0,2.83,RU,1594909483
Ilulissat,69.22,-51.1,281.15,75,75,2.6,GL,1594909483
Bluff,-46.6,168.33,277.04,83,44,1.34,NZ,1594909484
Pawtucket,41.88,-71.38,297.04,64,1,3.6,US,1594909461
Port Lincoln,-34.73,135.87,285.28,86,0,4.48,AU,1594909484
Great Yarmouth,52.61,1.73,295.37,79,78,1.34,GB,1594909484
Stawell,-37.05,142.77,276.46,91,0,1.98,AU,1594909484
Ahipara,-35.17,173.17,287.69,91,100,3.53,NZ,1594909484
Sorong,-0.88,131.25,299.08,83,71,1.76,ID,1594909484
Havøysund,71.0,24.66,289.15,87,100,2.1,NO,1594909484
Laguna,38.42,-121.42,289.82,82,1,2.6,US,1594909484
Grosse Pointe Park,42.38,-82.94,296.48,94,40,3.6,US,1594909484
Cayenne,4.93,-52.33,304.15,62,75,3.6,GF,1594909484
Fairbanks,64.84,-147.72,286.48,93,90,1.5,US,1594909484
Dunedin,-45.87,170.5,279.26,74,97,0.89,NZ,1594909458
Troitskoye,52.98,84.68,292.63,76,91,2.35,RU,1594909484
Rocha,-34.48,-54.33,282.94,60,78,3.9,UY,1594909484
Uzhur,55.3,89.83,290.55,77,2,3.27,RU,1594909484
Sassandra,4.95,-6.08,299.9,64,100,3.92,CI,1594909484
Saint Anthony,45.02,-93.22,296.48,53,1,4.1,US,1594909485
San Felipe,10.34,-68.74,301.84,63,4,1.0,VE,1594909485
Lahat,-3.8,103.53,297.45,89,100,1.03,ID,1594909485
Matadi,-5.82,13.45,306.05,37,62,2.78,CD,1594909485
Ribeira Grande,38.52,-28.7,296.15,60,75,3.6,PT,1594909485
Bubaque,11.28,-15.83,299.47,85,100,9.52,GW,1594909485
Englehart,47.82,-79.87,292.15,88,75,1.5,CA,1594909485
Arica,-18.48,-70.3,288.15,72,90,1.5,CL,1594909485
Manicoré,-5.81,-61.3,302.15,70,0,1.0,BR,1594909485
Altamont,42.21,-121.74,290.93,71,1,1.39,US,1594909485
Bud,39.45,-86.18,295.93,88,90,3.1,US,1594909485
Zhigansk,66.77,123.37,292.17,58,100,4.7,RU,1594909486
Kurumkan,54.3,110.3,288.39,64,98,2.96,RU,1594909486
Pundaguitan,6.37,126.17,301.66,72,7,3.01,PH,1594909486
Katherine,-14.47,132.27,290.15,33,0,3.6,AU,1594909486
Kodinsk,58.69,99.18,288.82,67,100,3.67,RU,1594909486
Tashtyp,52.79,89.9,286.92,77,98,0.27,RU,1594909486
Jasper,37.2,-94.35,299.26,74,1,2.35,US,1594909486
Okato,-39.2,173.88,281.48,81,100,4.92,NZ,1594909486
Unaí,-16.36,-46.91,298.68,42,0,4.67,BR,1594909486
Adelaide,-34.93,138.6,283.71,93,5,2.1,AU,1594909460
Khor,47.89,134.95,293.74,94,76,2.79,RU,1594909486
Örnsköldsvik,63.29,18.72,293.15,60,6,3.1,SE,1594909486
Province of Trapani,37.83,12.67,303.15,58,20,5.7,IT,1594908875
Praia,14.92,-23.51,302.15,58,75,5.1,CV,1594909486
Abhā,18.22,42.51,300.15,54,40,6.7,SA,1594909486
Chitipa,-9.7,33.27,292.27,38,99,5.5,MW,1594909486
Toba,34.48,136.85,297.15,83,75,5.7,JP,1594909487
Pevek,69.7,170.31,278.81,98,100,3.96,RU,1594909487
Humaitá,-7.51,-63.02,304.83,40,0,0.68,BR,1594909487
St. George's,12.06,-61.75,303.15,70,20,8.2,GD,1594909487
Kokkola,63.84,23.13,294.26,56,3,3.1,FI,1594909487
Santa Maria,-29.68,-53.81,282.15,87,90,4.6,BR,1594909487
Emerald,-23.53,148.17,284.15,40,0,2.6,AU,1594909487
Badou,7.58,0.6,296.53,82,100,0.91,TG,1594909487
Bambous Virieux,-20.34,57.76,295.15,73,40,3.1,MU,1594909487
Voykovo,45.38,36.44,297.65,55,100,7.6,UA,1594909487
Saskylakh,71.92,114.08,286.8,46,100,9.59,RU,1594909487
Rudnyy,52.96,63.12,306.15,26,0,3.0,KZ,1594909487
Airai,-8.93,125.41,287.86,100,48,1.36,TL,1594909488
Tonj,7.27,28.68,301.75,70,24,1.55,SS,1594909488
Maykop,44.61,40.11,303.46,40,68,1.85,RU,1594909489
Zunyi,27.69,106.91,296.25,90,100,2.67,CN,1594909489
Tirano,46.22,10.17,294.82,58,75,5.7,IT,1594909489
Klimovo,52.38,32.19,293.59,63,100,3.18,RU,1594909489
Mahon,39.89,4.27,298.15,57,40,4.6,ES,1594909489
Fremont,37.55,-121.99,289.82,77,90,2.6,US,1594909469
Belyy Yar,53.6,91.39,292.15,55,45,2.0,RU,1594909489
Broken Hill,-31.95,141.43,283.15,46,0,2.6,AU,1594909489
Arrecife,28.96,-13.55,302.15,58,20,2.6,ES,1594909489
Borovskoy,53.8,64.15,300.73,59,0,3.05,KZ,1594909489
Huarmey,-10.07,-78.15,291.39,71,47,2.41,PE,1594909489
Progreso,21.28,-89.67,300.93,88,40,3.1,MX,1594909489
San Clemente,33.43,-117.61,292.04,86,22,1.26,US,1594909490
‘Āhuimanu,21.44,-157.84,298.15,69,20,2.6,US,1594909490
Micheweni,-4.97,39.83,298.73,58,0,9.33,TZ,1594909490
Fuyu,45.18,124.82,298.28,52,0,3.43,CN,1594909490
Mongo,12.18,18.69,300.41,61,100,5.5,TD,1594909490
Meadow Lake,34.8,-106.54,297.15,38,90,3.1,US,1594909490
Neftçala,39.37,49.25,303.39,45,0,3.41,AZ,1594909490
Lyuban',52.8,28.0,295.58,60,62,1.4,BY,1594909490
Fort Saint James,54.43,-124.25,286.18,84,99,1.56,CA,1594909491
Babu,24.42,111.52,300.26,78,99,0.78,CN,1594909491
Tutóia,-2.76,-42.27,303.13,57,0,3.44,BR,1594909491
Cockburn Town,21.46,-71.14,301.12,77,91,6.92,TC,1594909491
Kutum,14.2,24.67,304.06,29,81,1.04,SD,1594909491
Monte Alegre,-2.01,-54.07,302.22,62,0,2.72,BR,1594909491
Llangefni,53.26,-4.31,290.37,82,75,3.6,GB,1594909491
Guaraciaba do Norte,-4.17,-40.75,298.2,59,4,4.27,BR,1594909491
Acaraú,-2.89,-40.12,302.78,58,0,5.61,BR,1594909492
Chekmagush,55.13,54.66,301.56,69,66,2.55,RU,1594909492
Mahébourg,-20.41,57.7,295.15,73,40,3.1,MU,1594909492
Kloulklubed,7.04,134.26,298.15,88,75,1.5,PW,1594909492
Bar Harbor,44.39,-68.2,289.15,67,20,3.6,US,1594909492
Lavrentiya,65.58,-171.0,280.4,89,100,0.18,RU,1594909493
Comodoro Rivadavia,-45.87,-67.5,275.15,93,90,2.6,AR,1594909493
Tanabe,33.73,135.37,297.04,89,100,1.78,JP,1594909493
Anadyr,64.75,177.48,282.15,100,90,2.0,RU,1594909493
Mackenzie,55.3,-123.17,286.15,93,90,4.1,CA,1594909493
Karagaylinskiy,54.17,86.55,291.43,84,5,2.07,RU,1594909493
Nieuw Nickerie,5.95,-56.98,301.02,76,100,2.87,SR,1594909493
Union,40.63,-74.27,298.71,64,75,4.1,US,1594909491
Fortuna,40.6,-124.16,284.82,100,90,0.3,US,1594909494
San Vicente,-26.62,-54.13,293.94,70,20,2.81,AR,1594909494
Eyl,7.98,49.82,306.54,38,50,14.1,SO,1594909494
Mayachnyy,52.68,55.69,304.98,39,53,5.02,RU,1594909494
Show Low,34.25,-110.03,294.15,40,75,3.6,US,1594909494
Kudahuvadhoo,2.67,72.89,302.72,67,100,2.11,MV,1594909495
Evansville,37.97,-87.56,297.04,78,90,4.1,US,1594909495
Niquelândia,-14.47,-48.46,301.39,30,0,5.24,BR,1594909495
Nola,40.92,14.53,302.04,57,20,5.1,IT,1594909495
Székkutas,46.5,20.53,300.37,42,86,3.07,HU,1594909495
Tartagal,-22.52,-63.8,292.44,44,63,0.82,AR,1594909495
Pandan,14.05,124.17,301.14,81,24,3.58,PH,1594909495
Barra do Garças,-15.89,-52.26,300.15,44,0,3.26,BR,1594909495
Sitka,57.05,-135.33,286.15,93,75,3.6,US,1594909496
Coyhaique,-45.58,-72.07,273.15,94,90,1.0,CL,1594909496
Puerto Madryn,-42.77,-65.04,281.08,72,100,6.06,AR,1594909496
Manokwari,-0.87,134.08,299.52,74,27,1.95,ID,1594909496
Grand Gaube,-20.01,57.66,294.82,72,29,0.89,MU,1594909496
Bezhanitsy,56.98,29.89,293.78,57,74,1.61,RU,1594909496
Sangar,63.92,127.47,291.19,58,2,1.31,RU,1594909496
Chara,56.91,118.26,294.05,67,51,4.84,RU,1594909496
Novoagansk,61.94,76.66,292.22,55,2,4.07,RU,1594909496
Erciş,39.03,43.36,299.15,47,40,5.1,TR,1594909496
São João da Barra,-21.64,-41.05,296.15,64,75,3.6,BR,1594909497
Kathu,7.92,98.33,303.71,88,20,1.0,TH,1594909497
Muros,42.78,-9.06,302.59,32,36,5.7,ES,1594909497
Shimokizukuri,40.81,140.39,291.48,85,39,1.89,JP,1594909497
Vestmannaeyjar,63.44,-20.27,283.15,93,90,11.3,IS,1594909497
Bandarbeyla,9.49,50.81,306.37,37,100,14.56,SO,1594909498
San Cristobal,7.77,-72.22,302.15,48,40,4.1,VE,1594909498
Cap Malheureux,-19.98,57.61,294.82,72,29,0.89,MU,1594909498
Marsá Maţrūḩ,31.35,27.25,300.15,61,0,6.2,EG,1594909498
Vila Velha,-20.33,-40.29,296.15,73,75,5.1,BR,1594909498
Fort Nelson,58.81,-122.7,289.15,77,75,1.0,CA,1594909498
Shimanovsk,52.0,127.7,293.52,92,12,1.73,RU,1594909498
Richards Bay,-28.78,32.04,291.61,50,0,2.11,ZA,1594909498
Rio Grande,-32.03,-52.1,281.48,100,90,2.1,BR,1594909455
Maple Creek,49.92,-109.48,292.9,49,50,1.79,CA,1594909499
Champerico,14.3,-91.92,297.15,83,90,1.61,GT,1594909499
Bone,51.97,12.14,294.82,51,17,0.89,DE,1594909499
Payson,40.04,-111.73,294.82,43,40,3.6,US,1594909499
Pontiac,42.64,-83.29,295.37,88,90,3.6,US,1594909499
Mareeba,-17.0,145.43,284.82,74,23,0.45,AU,1594909499
Kilakarai,9.23,78.78,303.15,65,100,5.79,IN,1594909499
Kedrovyy,56.17,91.82,292.15,52,40,5.0,RU,1594909500
Hong Kong,22.29,114.16,303.15,74,87,3.58,HK,1594909456
Shenjiamen,29.96,122.3,296.15,92,100,3.42,CN,1594909500
Sarakhs,36.54,61.16,306.15,33,30,8.2,IR,1594909500
Laas,46.62,10.7,294.82,67,40,3.6,IT,1594909500
Horta,38.53,-28.63,296.15,60,75,3.6,PT,1594909500
Edd,13.93,41.69,308.55,41,83,4.91,ER,1594909500
Biltine,14.53,20.92,305.64,39,98,3.69,TD,1594909500
Nanhai,30.13,111.78,296.48,93,100,2.63,CN,1594909501
Conakry,9.54,-13.68,300.15,88,75,5.1,GN,1594909501
Mananjary,-21.22,48.33,292.85,82,100,6.26,MG,1594909502
Wau,7.7,28.0,301.22,72,50,1.37,SS,1594909502
Pisco,-13.7,-76.22,288.71,93,90,1.5,PE,1594909502
Cumberland,35.05,-78.87,303.71,70,1,2.6,US,1594909502
Paamiut,61.99,-49.67,280.1,78,100,8.93,GL,1594909502
Pangnirtung,66.15,-65.71,289.15,59,75,1.5,CA,1594909502
Kattivākkam,13.22,80.32,302.15,83,75,1.5,IN,1594909502
Patea,-39.76,174.48,282.04,97,99,1.34,NZ,1594909503
Napkor,47.94,21.87,298.15,47,75,6.2,HU,1594909503
Nur,52.67,22.32,294.09,71,91,1.82,PL,1594909504
Inírida,3.87,-67.92,301.36,74,26,0.67,CO,1594909504
Itoman,26.12,127.67,301.15,83,75,6.7,JP,1594909504
Jumla,29.27,82.18,291.7,72,100,0.67,NP,1594909504
Pascagoula,30.37,-88.56,300.37,83,90,2.33,US,1594909505
Lamar,33.67,-95.58,303.15,70,1,3.6,US,1594909505
Penzance,50.12,-5.54,292.59,77,75,5.1,GB,1594909505
